,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_비율,주말_매출_비율,월요일_매출_비율,화요일_매출_비율,수요일_매출_비율,목요일_매출_비율,금요일_매출_비율,토요일_매출_비율,일요일_매출_비율,시간대_00~06_매출_비율,시간대_06~11_매출_비율,시간대_11~14_매출_비율,시간대_14~17_매출_비율,시간대_17~21_매출_비율,시간대_21~24_매출_비율,남성_매출_비율,여성_매출_비율,연령대_10_매출_비율,연령대_20_매출_비율,연령대_30_매출_비율,연령대_40_매출_비율,연령대_50_매출_비율,연령대_60_이상_매출_비율,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
10633,2021,1,A,골목상권,2110577,용강동주민센터,CS100008,분식전문점,247353284.0,28581,77,23,16,15,14,16,16,16,7,0,5,39,19,35,2,46,54,1,9,19,37,21,12,190572685.0,56780599.0,39956886.0,36962700.0,35558077.0,39513261.0,38581761.0,38905120.0,17875479.0,0,12444192.0,97288897.0,46725854.0,85754645.0,5139696,105088072.0,122266912.0,2085378,21438094,43495674.0,84857184.0,47599489.0,27879166.0,22068,6513,4515,4187,4425,4550,4391,4561,1952,0,1497,10576,5730,10063,715,12616,14569,374,3097,5333,9303,5366,3710,6
46072,2021,2,A,골목상권,2110577,용강동주민센터,CS100008,분식전문점,261663877.0,31031,77,23,14,14,16,17,17,18,5,0,5,39,16,38,2,45,55,2,10,19,37,20,12,202155722.0,59508155.0,35469579.0,37081833.0,40945114.0,44407884.0,44251312.0,46602184.0,12905971.0,0,14167635.0,102915332.0,40954191.0,99366330.0,4260389,113032788.0,136155129.0,5989677,25353611,46834516.0,91751071.0,50267423.0,28991619.0,24222,6809,4776,4198,4754,5377,5117,5027,1782,0,1872,11629,5434,11551,545,13302,16867,884,3601,5780,10264,5775,3866,6
81444,2021,3,A,골목상권,2110577,용강동주민센터,CS100008,분식전문점,270411573.0,31746,77,23,14,12,17,19,16,17,6,0,7,41,15,37,1,45,55,2,9,19,40,21,11,207174018.0,63237555.0,38060985.0,31151326.0,44650688.0,50398524.0,42912495.0,46980003.0,16257552.0,0,17915190.0,109456246.0,39513261.0,100945682.0,2581194,116236660.0,141585494.0,3914032,23286463,47763468.0,102473485.0,52746996.0,27637711.0,24835,6911,4505,3699,5389,6182,5060,5140,1771,0,2167,12639,4629,11903,408,13038,17731,547,3182,5987,11419,6259,3376,6
116449,2021,4,A,골목상권,2110577,용강동주민센터,CS100008,분식전문점,280000941.0,33482,79,21,15,13,18,15,18,16,5,0,7,38,18,35,2,45,55,2,10,20,38,20,12,220801397.0,59199544.0,42097099.0,35915473.0,49963978.0,41418805.0,51406042.0,45090908.0,14108636.0,0,19078145.0,106584405.0,50232874.0,97995746.0,6109771,121909836.0,147714137.0,4453644,26084190,52609266.0,101454529.0,52692684.0,32329662.0,26538,6944,5073,4187,5728,5435,6115,5253,1691,0,2360,12640,6490,11323,669,14447,18206,570,3812,6714,11379,6114,4064,6
23907,2021,1,D,발달상권,2120106,마포역,CS100008,분식전문점,97075101.0,9831,94,6,19,20,21,18,16,5,1,0,7,70,8,15,1,75,26,0,17,30,35,13,5,91382936.0,5692165.0,18847059.0,19246141.0,19976894.0,17744639.0,15568203.0,4395386.0,1296779.0,0,6784861.0,67531615.0,7264172.0,14952261.0,542192,64416136.0,22038011.0,51,14954198,25895710.0,30345472.0,11150922.0,4107795.0,9497,334,1960,1980,2039,1757,1761,272,62,0,991,6742,838,1231,29,6749,2271,0,1731,2568,2860,1376,483,20
59361,2021,2,D,발달상권,2120106,마포역,CS100008,분식전문점,107689300.0,10074,97,4,22,16,17,21,21,3,1,0,9,63,12,15,1,75,25,0,12,37,33,14,4,103866722.0,3822578.0,23327481.0,16949425.0,18569411.0,22274390.0,22746015.0,2925615.0,896963.0,0,10010459.0,67634570.0,13156871.0,16077560.0,809840,65738645.0,21878321.0,190,10364709,32712807.0,28970328.0,11840831.0,3728100.0,9803,271,2163,1750,1759,2026,2105,218,53,0,1071,6631,1007,1306,59,6587,2160,0,1170,3108,2678,1405,385,21
94604,2021,3,D,발달상권,2120106,마포역,CS100008,분식전문점,64504041.0,6633,96,4,16,21,21,22,16,2,1,0,2,76,8,13,2,74,26,0,17,35,31,12,5,62139000.0,2365041.0,10352776.0,13606689.0,13673082.0,14066503.0,10439950.0,1506508.0,858533.0,0,1351027.0,48779158.0,5212891.0,8160713.0,1000252,41991659.0,14603288.0,93042,9840172,19960567.0,17585759.0,6480664.0,2634740.0,6483,150,1064,1465,1363,1439,1152,98,52,0,241,4938,649,776,29,4646,1377,15,923,2281,1845,719,241,19
129449,2021,4,D,발달상권,2120106,마포역,CS100008,분식전문점,114900381.0,10153,98,3,18,16,18,25,21,1,1,0,2,75,11,12,1,67,33,0,10,37,32,17,5,112030952.0,2869429.0,20589031.0,18693902.0,20501176.0,28176555.0,24070288.0,1502428.0,1367001.0,0,2232927.0,86285205.0,12220900.0,13363701.0,797648,56687154.0,27523763.0,1472,8483842,30699589.0,26996532.0,13934262.0,4095218.0,10065,88,1737,1950,1869,2383,2126,34,54,0,421,7842,939,928,23,6425,1946,0,1034,3365,2812,832,327,22
32589,2021,1,R,전통시장,2130194,용강동 상점가,CS100008,분식전문점,33302270.0,793,78,22,19,13,15,10,21,14,9,0,0,0,0,56,44,74,26,1,32,22,29,13,3,25873875.0,7428395.0,6244529.0,4417592.0,4962457.0,3228644.0,7020653.0,4573769.0,2854626.0,0,0.0,0.0,0.0,18688401.0,14613869,20811018.0,7285128.0,404419,9055724,6099570.0,8098285.0,3724068.0,714079.0,581,212,124,102,119,79,157,121,91,0,0,0,0,477,316,518,189,11,208,141,224,106,17,5
68041,2021,2,R,전통시장,2130194,용강동 상점가,CS100008,분식전문점,171835744.0,2568,82,18,16,13,18,14,20,13,6,0,0,0,1,69,30,65,36,0,21,43,22,9,4,140477098.0,31358646.0,28067380.0,21997699.0,31389051.0,24011715.0,35011253.0,21881709.0,9476937.0,0,0.0,0.0,1481884.0,118669159.0,51684701,84988651.0,46680018.0,336236,28215309,56436018.0,29557147.0,12339093.0,4784864.0,2054,514,398,328,441,352,535,333,181,0,0,0,34,1641,893,1368,780,11,515,858,493,189,83,8
103251,2021,3,R,전통시장,2130194,용강동 상점가,CS100008,분식전문점,183020502.0,2727,63,37,11,10,12,15,15,25,12,0,0,2,5,79,13,65,35,0,25,46,15,10,4,114865323.0,68155179.0,20741320.0,18576505.0,20965341.0,26606335.0,27975822.0,45794645.0,22360534.0,0,0.0,4155087.0,9884069.0,144925907.0,24055439,99091580.0,53713639.0,0,37820068,70179322.0,23131791.0,15834167.0,5839873.0,1690,1037,306,261,329,399,395,669,368,0,0,54,102,2111,460,1510,889,0,665,1052,363,235,84,7
138036,2021,4,R,전통시장,2130194,용강동 상점가,CS100008,분식전문점,261608439.0,3501,66,34,12,11,14,13,17,19,15,2,0,3,5,67,24,62,38,0,24,39,20,13,4,172454237.0,89154202.0,31310648.0,28585620.0,36595496.0,32576627.0,43385846.0,49066094.0,40088108.0,3931950,0.0,7327093.0,12006408.0,175507607.0,62835381,125464099.0,77056584.0,0,48584202,78939046.0,41235535.0,26087293.0,7674605.0,2247,1254,461,349,451,390,596,732,522,68,0,122,169,2194,948,1804,1134,0,783,1130,568,341,119,6
